id redshift chandra.0p5to7 chandra.0p5to7_err chandra.2to7 chandra.2to7_err chandra.1p2to2 chandra.1p2to2_err chandra.0p5to1p2 chandra.0p5to1p2_err chandra.0p2to0p5 chandra.0p2to0p5_err xmm.newton.0p2to0p5 xmm.newton.0p2to0p5_err xmm.newton.0p5to1 xmm.newton.0p5to1_err xmm.newton.1to2 xmm.newton.1to2_err xmm.newton.2to4p5 xmm.newton.2to4p5_err xmm.newton.4p5to12 xmm.newton.4p5to12_err xmm.newton.0p2to12 xmm.newton.0p2to12_err xmm.newton.0p5to4p5 xmm.newton.0p5to4p5_err galex.FUV galex.FUV_err galex.NUV galex.NUV_err ctio.decam.u ctio.decam.u_err ctio.decam.g ctio.decam.g_err ctio.decam.r ctio.decam.r_err ctio.decam.i ctio.decam.i_err ctio.decam.z ctio.decam.z_err vista.vircam.J vista.vircam.J_err vista.vircam.H vista.vircam.H_err vista.vircam.Ks vista.vircam.Ks_err spitzer.irac.ch1 spitzer.irac.ch1_err spitzer.irac.ch2 spitzer.irac.ch2_err spitzer.irac.ch3 spitzer.irac.ch3_err spitzer.irac.ch4 spitzer.irac.ch4_err spitzer.mips.24 spitzer.mips.24_err WISE1 WISE1_err WISE2 WISE2_err WISE3 WISE3_err WISE4 WISE4_err
1 1.02 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 0.0008032896460231528 7.590688135295232e-05 0.0013163325280635104 1.6472165090050196e-05 0.002173463244116507 2.1944114686963572e-05 0.0031526614544590513 3.579858072233029e-05 0.005009728864800938 6.512359844665794e-05 0.005997794395643373 0.00018558643726299757 0.009719915705767515 0.0002627762867158613 0.01931272405273045 0.00029943104889366897 0.049519 0.000614 0.048307 0.0009220000000000001 0.053968 0.003203 0.024233 0.005898 -9999.0 -9999.0 0.040888 0.0032010000000000003 0.029813 0.0064800000000000005 0.149968 0.0 1.102554 0.0
2 0.24 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 6.783156729786637e-07 2.431620964642342e-07 6.86453012739131e-07 1.8775848630680383e-07 9.33250636820141e-07 1.7273939549865512e-07 4.9230822837473726e-08 7.774112337981954e-08 1.7628035418076133e-07 2.1660090853633057e-07 3.073270742434247e-07 1.440719423876687e-07 5.403642734462229e-07 8.019369839412632e-08 -9999.0 -9999.0 -9999.0 -9999.0 0.0013732546526433959 4.94215392059272e-05 0.0016412360461274878 1.6442413685831735e-05 0.0015989142653076432 2.30331724280241e-05 0.0024368051456875703 3.736079507220424e-05 0.0021077423001598736 7.076393199492252e-05 0.00467573614183411 4.3767823155762346e-05 0.006327461415900535 6.192133286787478e-05 0.007927952010727735 8.045975594802534e-05 0.01235 0.000507 0.015982 0.0007650000000000001 0.034688000000000004 0.00311 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
3 1.09 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 1.7528889677821878e-06 3.258299580580452e-07 1.4434059255741837e-06 2.389836935344421e-07 1.2181857341351043e-06 1.758208814996331e-07 5.193571493796981e-07 1.3371060316266102e-07 2.509561758058569e-07 2.4216540054927555e-07 5.90061645863311e-07 1.5897471578943982e-07 9.190828732074041e-07 8.810688496542044e-08 -9999.0 -9999.0 -9999.0 -9999.0 0.003063723994519411 5.1942131014890944e-05 0.0021509110833861263 1.721200417144812e-05 0.002755000441801383 2.342050680132274e-05 0.002650053747901249 3.5764438013923185e-05 0.0032885023028217737 6.227375519409695e-05 0.004411067325517923 0.00013400839767430868 0.0065456732257520465 0.0002255751695764651 0.005535231373174705 0.0003301787315767284 0.014369999999999999 0.00051 0.017738 0.000629 -9999.0 -9999.0 0.024956 0.004181 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
4 1.3 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 0.008510073272567224 7.296794523087665e-05 0.009670286169549925 2.0236960727274862e-05 0.012322403131774242 2.7135246792210542e-05 0.012461259176638335 4.238474808731064e-05 0.013991289263943699 7.418401829533116e-05 0.007001723194906223 0.00017231524528540167 0.00640936019743804 0.00023083801027035908 0.008623893356716232 0.0002811061818719363 0.048738000000000004 0.000601 0.058904000000000005 0.000912 0.069331 0.003238 0.101882 0.005879 0.572012 0.043487000000000005 0.043331 0.003153 0.057016 0.006354 0.203986 0.08041200000000001 1.362699 0.61123
5 0.6 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 2.385025775257e-06 4.5200228671169726e-07 1.6951109329443637e-06 3.0592443801039106e-07 9.601738335271154e-07 1.9726886774264989e-07 2.882643098109868e-07 1.1955437806279853e-07 5.774605234096804e-07 2.9101590738534017e-07 6.772120805681489e-07 1.892386908427767e-07 7.755204065271621e-07 9.84197927178546e-08 -9999.0 -9999.0 -9999.0 -9999.0 0.0008163178189285374 5.532043285013138e-05 0.0011502311061433123 1.5553335324716336e-05 0.0016427551232501487 2.1054431611422196e-05 0.0030474889438741447 3.741912291228792e-05 0.0034138889226558145 6.155897973436586e-05 0.0024643018295788625 9.86742683652212e-05 0.0035841013938227653 0.00012011294400777855 0.007419119643940729 0.000254009435352607 0.026613 0.000546 0.037271 0.00086 0.056177 0.00315 0.046685000000000004 0.0058579999999999995 0.23193000000000003 0.039494 0.030507000000000003 0.002978 0.023725000000000003 0.006206000000000001 0.167494 0.0 1.611388 0.0
6 0.8018800020217896 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 6.49672038509769e-05 1.788248926590887e-06 5.204919765957341e-05 1.2811140538114977e-06 2.9017167975280814e-05 7.206483675243762e-07 1.602321438229101e-05 5.792796657739673e-07 8.356033868280717e-06 6.200468722408045e-07 1.4957273090489071e-05 4.254515571163425e-07 2.4698827836183826e-05 3.8990971654905714e-07 0.012464000000000001 0.00268449 0.038653599999999996 0.00338508 0.06496044411924376 0.0002857964388342332 0.07425579531733237 9.814911875363834e-05 0.07661756548565606 0.00012513568392792806 0.07319138698912567 0.00018775652992562676 0.07560147934799144 0.0003218895406764107 0.1295588853026226 0.0018137077938761878 0.11337215534724732 0.0018771492083876132 0.17089203372797027 0.0023926623795125722 0.30639900000000003 0.001063 0.35018900000000003 0.0013650000000000001 0.444993 0.004319 0.598245 0.006237 2.14396 0.041890000000000004 0.2834 0.007831000000000001 0.454988 0.01341 1.02707 0.081353 1.605462 0.5678150000000001
7 1.25 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 0.002422148666197461 5.071045130965709e-05 0.002666022046426859 1.6690769526721893e-05 0.0030039144287029645 2.2030610368531363e-05 0.0045932083288427045 3.6342751799294014e-05 0.005332157380399141 6.266682973793114e-05 0.012236152063731682 0.00012674862066389976 0.016290860949466152 0.0001582908793581949 0.01940123555659495 0.00019263533201278887 0.038409 0.000578 0.054513 0.000903 0.059313000000000005 0.003099 0.09163400000000001 0.005914 0.281926 0.039772 0.037359 0.003234 0.052966 0.006732 0.226778 0.0 1.0914400000000002 0.0
8 2.9784 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 2.272315044956835e-06 3.718985390899791e-07 2.029793976985624e-06 2.849938237962594e-07 1.073172682010166e-06 1.6996064037309198e-07 2.3831206110046163e-07 1.0618922348000363e-07 2.7991908382095406e-07 2.1696650156073865e-07 4.817667338571667e-07 1.419361153584268e-07 8.700958893373411e-07 8.906863448834007e-08 -9999.0 -9999.0 -9999.0 -9999.0 0.005311695550112111 5.8637013491417626e-05 0.012618316987764505 2.063049526084016e-05 0.01618526242753668 2.6539726611812315e-05 0.01737268878998865 4.198644411445952e-05 0.017028965817407173 6.985586034246642e-05 0.009318381381561616 0.00021907421974379075 0.0062164874313475355 0.00020391890611696605 0.007357641581535845 0.00024133546933421013 0.022054 0.0005809999999999999 0.030023 0.000851 0.031911 0.002964 0.098603 0.005982 0.263178 0.042305999999999996 0.020026 0.0029140000000000004 0.01881 0.00622 0.165653 0.066827 1.181408 0.0
9 1.45 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 2.694704572402658e-07 1.341981432418924e-07 3.5014382415944033e-07 1.1429910240696346e-07 1.7009380887293292e-07 7.695609093758946e-08 1.795061749843619e-07 9.050048535836903e-08 2.498847621611738e-07 1.9028427642490509e-07 2.603756800330001e-07 1.2419795622206976e-07 2.4046116081916815e-07 4.864878964414716e-08 -9999.0 -9999.0 -9999.0 -9999.0 0.0007703533682266649 4.1918284595724815e-05 0.0006935124301364945 1.357237573269522e-05 0.000690790674470125 1.6375054154755277e-05 0.0011630562277543 2.84965118186548e-05 0.0012279442266648366 5.208743494719568e-05 0.0029854441336617443 0.00032312708632434067 0.004200888192684045 0.00033177040863104583 0.005488905131372114 0.0002782033783372237 0.010218999999999999 0.00040100000000000004 0.010012 0.00084 0.018067 0.002408 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0
10 1.45 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 -9999.0 0.0013393820703454895 3.5160902172394064e-05 0.0015247970353457865 1.3385037985479265e-05 0.001884722141421854 1.7726932574721073e-05 0.0021810036324564834 2.808790757621742e-05 0.0023753450158566294 5.402759105921707e-05 0.003272526931345896 7.905769318729558e-05 0.005189136928871995 6.97503195380421e-05 0.0066180158226146575 0.00012642530947452483 0.015433 0.000393 0.025119 0.000647 0.020491 0.00231 0.02686 0.004321 -9999.0 -9999.0 0.0062169999999999994 0.002949 0.038761000000000004 0.006997 0.17108 0.0 1.5473910000000002 0.0
