ID RAdeg DEdeg i-mag X-flag g-flag r-flag i-flag z-flag n-corr z r_z ID-COSMOS2015 bibcode flag_magellean z_magellean flag_deimos z_deimos flag_sdss z_sdss
47 150.37654 1.7179 20.06 1 1 1 1 1 6 1.570781 1 285627 "HSC miscellaneous" False -1.0 False -1.0 True 1.570781
48 150.39674 1.73571 22.29 1 1 1 1 1 6 2.766 3 295934 2016ApJ...817...34M False -1.0 False -1.0 False -1.0
49 150.48519 1.80309 21.96 1 1 1 1 1 6 0.9573 0 339381 2009ApJ...696.1195T True 0.9573 False -1.0 False -1.0
50 150.49168 1.77262 20.86 1 1 1 1 1 6 0.832 1 320331 "HSC miscellaneous" True 0.8314 False -1.0 False -1.0
51 150.49127 1.91029 21.95 1 1 1 1 1 6 2.2367 1 407347 "HSC miscellaneous" False -1.0 False -1.0 False -1.0
52 150.48562 1.87193 22.23 1 1 1 1 1 6 4.426 1 382203 "HSC miscellaneous" False -1.0 True 4.426 False -1.0
53 150.49767 1.86113 21.86 1 1 1 1 1 6 0.8317 1 376362 "HSC miscellaneous" True -1.0 False -1.0 False -1.0
54 150.36591 1.82933 21.63 1 1 1 1 1 6 0.95849705 1 355652 "HSC miscellaneous" False -1.0 False -1.0 False -1.0
55 150.38317 1.79884 22.34 1 1 1 1 1 5 1.0837362 1 337029 "HSC miscellaneous" False -1.0 False -1.0 False -1.0
56 150.42931 1.82558 21.74 1 1 1 1 1 6 2.0842 1 353591 "HSC miscellaneous" True 2.0763 False -1.0 False -1.0
57 150.39223 1.87568 24.42 1 1 1 1 1 6 1.65 1 383885 "HSC miscellaneous" False -1.0 True 1.65 False -1.0
58 150.35942 1.93644 22.48 1 1 1 1 1 6 2.390003 1 423522 "HSC miscellaneous" False -1.0 False -1.0 False -1.0
59 150.35262 1.93201 22.77 1 1 1 1 1 6 1.373 1 420196 "HSC miscellaneous" False -1.0 True 1.373 False -1.0
60 150.43102 1.93527 21.47 1 1 1 1 1 6 2.177 1 422734 "HSC miscellaneous" True 2.1809 True 2.177 False -1.0
61 150.40096 1.91198 21.06 1 1 1 1 1 6 2.2816794 1 408043 "HSC miscellaneous" True 2.2806 False -1.0 False -1.0
62 150.40767 1.8677 22.53 1 1 1 1 1 6 0.3935 1 379110 "HSC miscellaneous" True 0.3356 True 0.3935 False -1.0
