 ID     RAdeg   DEdeg i-mag X-flag g-flag r-flag i-flag z-flag n-corr ID-COSMOS2015           z z_phot       z0          z1    z2   z3    z4    z5 r_z r_z0 r_z1 r_z4
=== ========= ======= ===== ====== ====== ====== ====== ====== ====== ============= =========== ====== ======== =========== ===== ==== ===== ===== === ==== ==== ====
 23 150.53187 2.18892 21.58      1      1      1      1      1      6        585366        0.83   0.83     0.83        0.83  -1.0 0.83 0.827  -1.0   0    3    6    1
 24  150.6097 2.32311 20.44      1      1      1      1      1      6        675269      1.2945   1.73   1.2945     1.29498  -1.0 1.73 1.295  -1.0   0    3    3    1
 25 150.63844 2.39134 22.56      1      1      1      1      1      6        720289        3.65   3.65     3.65        -1.0  -1.0 3.65 3.649  -1.0   0   23   -1    3
 26  150.6302 2.45454  20.2      1      1      1      1      1      6        763207      0.8152   0.79   0.8152   0.8165838  -1.0 0.79 0.816  -1.0   0    3    3    1
 27 150.55556 2.36917 23.29      1      1      1      1      1      6        706553      0.9736   1.62   0.9736       1.634 1.634 1.62 1.634  -1.0   0    3    6    2
 28 150.59971 2.39823 20.77      1      1      1      1      1      6        725685       2.837   -1.0    2.837    2.836788  -1.0 -1.0 2.836  -1.0   0    7    3    1
 29 150.56727 2.50359 21.03      1      1      1      1      1      6        794377      1.1461   -1.0   1.1461        -1.0  -1.0 -1.0 1.146 1.146   0    3   -1    3
 30 150.61728 2.48275 22.59      1      1      1      1      1      6        779775      2.7456   2.74   2.7456        -1.0  -1.0 2.74 2.735 2.735   0    3   -1    3
 31 150.54398 2.42307 21.92      1      1      1      1      1      6        741600      0.9575   -1.0   0.9575      0.9578  -1.0 -1.0 0.983  -1.0   0    3    1    1
 32 150.71363 2.57297 22.59      1      1      1      1      1      6        839943      1.5181   1.73     -1.0      1.5181  -1.0 1.73 0.308  -1.0   1   -1    1    1
 33 150.68315 2.57464 19.16      1      1      1      1      1      6        837822      0.3757   0.59   0.3757       0.375  -1.0 0.59 0.375  -1.0   0    3    1    1
 34 150.63388 2.59371 19.13      1      1      1      1      1      6        854964      0.6577   0.65   0.6577   0.6573269  -1.0 -1.0 0.657  -1.0   0    3    3    1
 35 150.63295  2.5854 22.07      1      1      1      1      1      6        847966      0.8781   2.33   0.8781      0.8813  -1.0 2.33 0.881  -1.0   0    3    1    1
 36 150.70554  2.6296 19.97      1      1      1      1      1      6        878244      2.1236   -1.0   2.1236    2.120248  -1.0 -1.0 2.122  -1.0   0    3    3    1
 37 150.63539 2.64991 21.04      1      1      1      1      1      6        890325       1.223   0.04    1.223      1.2223  -1.0 0.04 1.222  -1.0   0    1    1    1
 38 150.62846 2.67745 23.05      1      1      1      1      1      6        907047         2.6    2.6     -1.0        -1.0  -1.0  2.6 2.225  -1.0   3   -1   -1    3
 39 150.53932 2.54206 21.94      1      1      1      1      1      6        819172      1.7151    1.8     -1.0      1.7151  -1.0  1.8 1.715  -1.0   1   -1    1    1
 40 150.55588 2.56438 21.89      1      1      1      1      1      6        834538      1.1433   1.18   1.1433      0.4924  -1.0 1.18 0.492  -1.0   0    3    1    1
