HSC-z r_HSC-z SIMBAD-z bib_SIMBAD-z name
1.289 spec 1.29 2009ApJ...696.1195T "ACS-GC 20169886"
2.067 spec 2.0654 2009ApJ...696.1195T "ACS-GC 20143708"
1.444 phot 1.4436 2009ApJ...696.1195T "ACS-GC 20142373"
2.753 spec 2.7592 2009ApJ...696.1195T "2XMM J100124.3+024041"
1.437 spec 1.434 2020ApJS..250....8L "SDSS J100157.78+024631.6"
0.491 spec 1.606 2018ApJ...858...77H "ACS-GC 20168005"
1.228 phot 1.2281 2009ApJ...696.1195T "COSMOS 2642587"
2.055 spec 2.0518 2009ApJ...696.1195T "ACS-GC 20171642"
0.923 spec 0.92 2009ApJ...696.1195T "ACS-GC 20191668"
1.266 phot 1.266 2009ApJ...696.1195T "ACS-GC 20169117"
2.535 spec 2.5226 2007ApJS..172...70L "ACS-GC 20171537"
2.055 spec 2.0551 2009ApJ...696.1195T "[VV2006] J100116.7+014053"
0.762 spec 0.7627 2007ApJS..172...70L "ACS-GC 20010877"
0.0 none 0.0 ------------------- ""
0.0 none 0.0 ------------------- ""
1.755 phot 1.76 2015ApJS..220...12S "ACS-GC 20036381"
0.0 none 0.0 ------------------- ""
0.0 none 0.0 ------------------- ""
0.0 none 0.0 ------------------- ""
0.622 spec 0.6227 2007ApJS..172...70L "2XMM J100058.1+014559"
0.0 none 0.0 ------------------- ""
1.56 spec 1.5591 2009ApJ...696.1195T "[VV2006] J100058.8+015400"
1.148 spec 1.1563 2009ApJ...696.1195T "2XMM J100049.9+015230"
2.021 spec 2.0283 2009ApJ...696.1195T "[VV2006] J100058.3+015208"
0.0 none 0.0 ------------------- ""
0.97 spec 0.969 2009ApJ...696.1195T "SDSS J100114.85+020208.4"
1.17 spec 1.1645 2009ApJ...696.1195T "SDSS J100100.80+015947.6"
2.349 spec 2.3504 2007ApJS..172...70L "SDSS J100114.83+015840.4"
2.669 spec 2.6807 2009ApJ...696.1195T "2XMM J100108.5+020053"
1.073 spec 1.797 2015ApJS..220...12S "ACS-GC 20059749"
0.903 spec 0.904 2007ApJS..172...70L "[VV2006] J100120.2+020341"
2.009 phot 2.017 2018ApJ...858...77H "COSMOS2015 495819"
0.0 none 0.0 ------------------- ""
0.0 none 0.0 ------------------- ""
2.611 spec 2.6145 2009ApJ...696.1195T "SDSS J100105.31+021348.3"
1.826 spec 1.8221 2009ApJ...696.1195T "[VV2006] J100112.6+020939"
2.491 spec 2.48268 2015ApJS..219...12A "SDSS J100115.96+021448.4"
0.0 none 0.0 ------------------- ""
1.829 spec 1.8347 2009ApJ...696.1195T "[VV2006] J100038.0+020822"
1.4 spec 2.1458 2020A&A...633A.159R "ACS-GC 20090331"
1.84 spec 1.8291 2009ApJ...696.1195T "[VV2006] J100051.5+021215"
1.502 spec 1.5145 2009ApJ...696.1195T "SDSS J100047.93+021127.0"
0.0 none 0.0 ------------------- ""
2.458 spec 2.468 2020AJ....160...37M "ACS-GC 20116690"
2.04 spec 2.0413 2009ApJ...696.1195T "ACS-GC 20145910"
0.375 spec 0.3738 2007ApJS..172...70L "SDSS J100113.93+022548.1"
1.505 spec 1.4999 2009ApJ...696.1195T "[VV2006] J100111.9+023024"
0.972 spec 0.9793 2009ApJ...696.1195T "ACS-GC 20117742"
3.095 phot 3.1019 2009ApJ...696.1195T "COSMOS2015 720608"
1.933 spec 1.936 2007ApJS..172...70L "[VV2006] J100055.6+022150"
0.0 none 0.0 ------------------- ""
0.693 spec 0.6933 2009ApJ...696.1195T "SDSS J100058.70+022556.2"
3.727 spec 3.7179 2014A&A...563A..54P "SDSS J100050.15+022618.4"
3.348 spec 3.365 2014A&A...563A..54P "SDSS J100050.12+022854.8"
2.656 spec 2.6534 2009ApJ...696.1195T "SDSS J100110.20+023242.2"
1.633 spec 0.695 2009ApJ...696.1195T "ACS-GC 20143757"
0.957 spec 0.9576 2007ApJS..172...70L "2XMM J100116.2+023607"
1.835 spec 1.8344 2009ApJ...696.1195T "[VV2006] J100120.2+023341"
1.436 spec 1.45 2009ApJ...696.1195T "ACS-GC 20146239"
0.0 none 0.0 ------------------- ""
0.0 none 0.0 ------------------- ""
0.51 spec 0.5012 2009ApJ...696.1195T "ACS-GC 20147066"
0.0 none 0.0 ------------------- ""
0.0 none 0.0 ------------------- ""
1.401 spec 1.4031 2009ApJ...696.1195T "[VV2006] J100055.4+023441"
1.404 phot 1.404 2015ApJS..220...12S "ACS-GC 20144636"
0.0 none 0.0 ------------------- ""
0.0 none 0.0 ------------------- ""
2.13 phot 2.13 2009ApJ...696.1195T "ACS-GC 20171658"
0.0 none 0.0 ------------------- ""
2.164 spec 2.1616 2007ApJS..172...70L "[VV2006] J100100.3+024413"
2.387 phot 2.3873 2009ApJ...696.1195T "ACS-GC 20175049"
2.274 spec 2.2767 2009ApJ...696.1195T "SDSS J100012.43+014057.8"
1.628 spec 1.6181 2009ApJ...696.1195T "[VV2006] J095957.9+014327"
1.674 spec 1.6789 2009ApJ...696.1195T "[VV2006] J100031.6+014757"
0.0 none 0.0 ------------------- ""
1.667 spec 1.6637 2009ApJ...696.1195T "[VV2006] J100024.4+015053"
1.519 spec 1.5191 2009ApJ...696.1195T "ACS-GC 20037807"
0.0 none 0.0 ------------------- ""
0.0 none 0.0 ------------------- ""
0.0 none 0.0 ------------------- ""
2.395 spec 2.387 2009ApJ...696.1195T "ACS-GC 20040408"
0.352 spec 0.35 2009ApJ...696.1195T "SDSS J100017.53+020012.5"
1.178 spec 1.1767 2009ApJ...696.1195T "[VV2006] J100034.9+020235"
0.961 spec 0.961 2014MNRAS.443.2679B "SDSS J100025.32+020734.7"
0.0 none 0.0 ------------------- ""
3.508 spec 3.4995 2007ApJS..172...70L "COSMOS2015 486220"
2.499 spec 2.4971 2009ApJ...696.1195T "[VV2006] J100014.0+020054"
2.135 spec 2.129 2009ApJ...696.1195T "ACS-GC 20095333"
0.0 none 0.0 ------------------- ""
0.0 none 0.0 ------------------- ""
0.0 none 0.0 ------------------- ""
0.184 spec 0.1853 2009ApJ...696.1195T "SDSS J100033.11+021729.9"
2.9 spec 1.657 2018ApJ...858...77H "ACS-GC 20095854"
1.258 phot 1.258 2009ApJ...696.1195T "SDSS J100006.84+021235.6"
0.045 spec 2.673 2020AJ....160...37M "COSMOS2015 632339"
0.66 spec 0.6585 2009ApJ...696.1195T "SDSS J095958.47+021530.8"
1.792 spec 1.7924 2009ApJ...696.1195T "[VV2006] J095958.6+021805"
1.406 spec 1.4068 2009ApJ...696.1195T "SDSS J100001.06+021413.5"
2.445 spec 0.34 2009ApJ...696.1195T "ACS-GC 20120455"
2.475 spec 2.48 2009ApJ...696.1195T "ACS-GC 20118705"
0.726 spec 0.7277 2007ApJS..172...70L "SDSS J100029.68+022129.7"
0.732 spec 0.7295 2007ApJS..172...70L "SDSS J100014.91+022718.1"
0.09 spec 1.8456 2009ApJ...696.1195T "ACS-GC 20122069"
2.663 phot 2.689 2020AJ....160...37M "COSMOS2015 695834"
1.26 spec 1.2562 2009ApJ...696.1195T "[VV2006] J100014.1+022838"
2.089 phot 2.089 2018ApJ...858...77H "ACS-GC 20154544"
0.0 none 0.0 ------------------- ""
0.497 spec 0.4967 2009ApJ...696.1195T "ACS-GC 20148180"
1.881 spec 1.8806 2009ApJ...696.1195T "[VV2006] J100025.1+024128"
0.0 none 0.0 ------------------- ""
1.834 spec 1.8412 2009ApJ...696.1195T "[VV2006] J100030.5+023735"
1.233 phot 0.6312 2009ApJ...696.1195T "ACS-GC 20180224"
1.436 phot 1.4362 2009ApJ...696.1195T "ACS-GC 20180162"
1.572 spec 1.5695 2007ApJS..172...70L "[VV2006] J100010.2+023745"
0.517 spec 0.5178 2007ApJS..172...70L "ACS-GC 20179910"
0.425 spec 0.4368 2007ApJS..172...70L "ACS-GC 20177485"
1.95 spec 1.935 2009ApJ...696.1195T "COSMOS2015 908790"
0.0 none 0.0 ------------------- ""
0.0 none 0.0 ------------------- ""
0.0 none 0.0 ------------------- ""
0.0 none 0.0 ------------------- ""
0.0 none 0.0 ------------------- ""
0.734 spec 0.3236 2009ApJ...696.1195T "ACS-GC 20045324"
1.034 spec 1.035 2007ApJS..172...70L "ACS-GC 20045172"
0.748 spec 0.74829 2018ApJS..234...21D "ACS-GC 20045360"
1.35 spec 1.3511 2007ApJS..172...70L "[VV2006] J095917.2+015019"
0.443 spec 0.4437 2009ApJ...696.1195T "2XMM J095926.9+015342"
0.0 none 0.0 ------------------- ""
1.566 spec 0.4586 2009ApJ...696.1195T "ACS-GC 20046042"
0.0 none 0.0 ------------------- ""
0.0 none 0.0 ------------------- ""
1.806 spec 1.8108 2009ApJ...696.1195T "2XMM J095949.8+020012"
