ID logMs logMs_e SF_excess chi2
177 9.41 0.04 1.8 1.9
178 7.51 0.05 0.8 5.7
179 10.67 0.12 1.1 2.0
180 10.59 0.21 0.9 2.3
181 11.1 0.06 2.1 2.4
182 9.32 0.13 1.3 1.2
183 9.16 0.05 2.2 2.7
184 10.57 0.3 1.1 2.1
185 8.7 0.18 1.0 0.6
186 11.03 0.08 1.4 1.8
187 7.2 0.08 1.1 3.6
188 9.66 0.79 1.0 0.9
189 11.25 0.04 1.5 1.4
190 11.3 0.17 1.0 1.7
191 7.26 0.46 1.1 1.4
192 10.52 0.06 2.6 3.1
193 10.98 0.18 1.3 1.4
194 9.6 0.04 2.0 6.5
195 10.21 0.18 1.3 1.2
196 8.42 0.51 1.0 0.6
197 10.5 0.1 1.0 1.7
198 11.06 0.11 1.8 2.0
199 9.81 0.02 7.9 11.5
200 9.74 0.02 3.3 7.8
201 9.85 0.04 3.3 2.1
202 10.76 0.12 1.2 1.5
203 10.73 0.06 2.3 2.2
204 9.98 0.1 2.7 1.7
205 10.43 0.03 6.3 3.9
206 11.24 0.11 2.3 0.4
207 10.95 0.07 1.4 1.2
208 10.93 0.22 1.2 3.0
209 10.12 0.04 4.9 3.4
210 10.91 0.29 1.1 1.1
211 10.82 0.15 1.3 1.0
212 10.73 0.52 1.1 2.7
213 11.02 0.1 2.0 0.5
214 11.68 0.07 1.4 1.6
215 11.25 0.1 2.2 0.9
216 10.2 0.1 3.8 3.1
217 11.06 0.06 3.8 0.4
218 10.86 0.16 1.2 0.6
219 10.85 0.09 1.2 0.6
220 10.27 0.03 3.6 2.6
221 9.67 0.04 5.7 1.0
222 11.46 0.07 1.2 2.6
223 9.75 0.11 4.0 3.6
224 10.35 0.13 13.0 7.7
225 10.64 0.14 2.9 2.6
226 10.79 0.08 2.4 1.6
227 10.51 0.1 2.7 1.0
228 11.05 0.06 2.6 0.3
229 10.98 0.04 3.9 1.1
230 9.27 0.05 2.9 2.0
231 10.78 0.08 1.3 4.4
232 10.84 0.11 1.5 0.8
233 10.39 0.04 3.9 3.8
234 11.03 0.16 1.8 0.2
235 10.22 0.08 4.9 0.6
236 11.01 0.07 3.2 0.7
237 10.39 0.07 2.8 0.6
238 10.94 0.18 1.2 2.1
239 10.49 0.19 1.1 3.2
240 11.07 0.14 1.4 1.8
241 10.94 0.18 1.3 0.6
242 10.98 0.18 1.6 0.3
243 8.0 0.08 2.3 0.4
244 11.07 0.06 1.6 0.8
245 11.02 0.04 4.1 2.1
246 9.11 0.09 1.0 0.4
247 9.62 0.07 4.2 2.4
248 11.47 0.12 1.3 5.3
249 11.03 0.12 1.2 0.9
250 10.73 0.07 1.7 0.6
251 9.04 0.11 1.2 0.8
252 11.02 0.02 2.8 1.5
253 10.64 0.07 3.8 0.1
254 10.98 0.08 2.6 1.2
255 11.49 0.06 2.5 0.4
256 11.16 0.02 2.7 0.5
257 7.69 0.26 1.2 2.6
258 11.43 0.09 2.2 1.1
259 11.28 0.06 1.9 1.2
260 11.01 0.09 1.6 1.6
261 10.86 0.09 1.8 0.8
262 8.4 0.11 1.0 0.2
263 6.54 0.03 nan 4.7
264 9.75 0.07 3.0 1.3
265 10.56 0.05 5.5 3.9
266 11.49 0.06 3.7 1.9
267 10.69 0.18 1.3 0.8
268 11.13 0.05 3.1 0.8
269 10.99 0.13 2.8 0.8
270 10.6 0.16 1.5 1.3
271 7.7 0.14 1.1 2.5
272 10.57 0.02 4.8 1.3
273 10.61 0.17 1.0 2.3
274 11.1 0.15 1.3 0.8
275 11.23 0.13 1.3 1.5
276 7.99 0.09 1.0 2.8
277 10.72 0.13 0.9 1.6
278 11.21 0.08 2.5 1.1
279 11.68 0.11 1.2 3.7
280 11.66 0.07 1.7 1.4
281 9.2 0.02 8.6 10.3
282 6.68 0.91 0.9 27.4
283 11.3 0.08 2.2 1.7
284 10.23 0.03 6.6 4.7
285 8.51 0.02 11.6 7.5
286 11.21 0.1 2.7 2.6
287 11.19 0.04 2.8 1.0
288 9.47 0.22 1.0 2.5
289 11.02 0.08 1.9 2.7
290 10.84 0.18 1.1 0.9
291 11.05 0.11 1.5 0.8
292 8.73 0.46 1.1 1.2
293 10.66 0.13 1.4 0.7
294 11.37 0.07 3.4 1.2
295 11.26 0.07 1.1 1.3
296 10.92 0.07 1.6 0.7
297 10.98 0.05 3.3 1.9
298 11.23 0.05 4.2 0.9
299 11.45 0.04 3.5 0.3
300 11.23 0.03 4.7 0.5
301 10.52 0.29 1.0 2.1
302 11.13 0.06 1.0 2.1
303 9.02 0.21 1.1 3.6
304 11.97 0.14 1.2 2.3
305 10.49 0.14 1.4 2.2
306 11.59 0.03 0.9 2.8
307 8.4 0.15 1.0 3.6
308 11.53 0.05 1.1 1.3
309 8.85 0.13 1.1 1.0
310 9.98 0.13 1.0 1.5
311 8.91 0.16 1.1 1.6
312 10.97 0.16 1.3 0.9
313 9.16 0.24 1.1 0.9
314 8.35 0.2 1.6 6.5
315 10.73 0.65 1.2 1.0
316 11.47 0.09 1.8 1.0
317 10.92 0.21 1.2 1.4
318 10.46 0.45 1.0 3.1
319 8.08 0.44 1.0 0.6
320 10.43 0.22 2.0 4.3
321 8.46 0.04 0.9 1.1
322 8.65 0.13 1.1 1.1
323 10.79 0.15 1.0 0.1
324 7.58 1.14 1.0 2.2
325 10.43 0.16 1.1 4.2
326 11.22 0.13 1.3 0.9
327 10.47 0.23 1.0 2.0
328 10.47 0.2 1.4 2.8
329 9.57 1.37 1.0 2.5
330 9.59 0.1 1.2 2.5
331 10.55 1.31 1.0 1.7
332 11.04 0.11 1.2 1.9
333 10.92 0.1 0.9 0.4
334 9.26 0.23 1.0 0.8
335 11.56 0.13 1.2 2.3
336 9.71 1.48 1.0 2.7
337 9.06 0.1 1.3 1.8
338 10.67 0.62 1.1 3.4
339 10.54 0.21 1.4 1.7
340 11.27 0.19 1.1 1.5
341 9.7 0.29 0.9 3.1
342 11.06 0.14 1.5 1.2
343 10.28 0.8 1.0 1.6
344 10.36 0.17 1.3 0.6
345 10.54 0.27 1.3 0.9
346 8.56 0.08 0.9 1.1
347 11.09 0.25 1.5 1.7
348 10.62 0.17 1.1 0.9
349 10.47 0.18 1.5 1.2
350 7.79 0.13 1.6 4.9
351 7.96 0.25 1.1 2.9
352 11.2 0.08 0.9 1.7
353 9.96 0.23 1.3 0.5
354 8.51 0.56 1.1 0.9
355 11.05 0.06 1.5 0.9
356 10.68 0.14 1.2 1.2
357 10.82 0.07 2.4 1.4
358 11.01 0.03 2.0 2.0
359 8.65 0.58 1.1 3.8
360 10.04 0.06 1.1 1.6
361 10.79 0.36 0.9 1.9
362 8.84 0.18 1.0 4.3
363 9.14 0.11 1.2 2.0
364 10.48 0.36 1.1 0.6
365 8.72 0.34 1.2 1.3
366 10.83 0.33 1.2 0.8
367 10.88 0.13 1.5 4.0
368 8.63 0.18 1.2 1.5
369 7.14 0.28 1.1 0.5
370 10.33 0.16 1.0 0.7
371 11.33 0.11 1.4 2.0
372 10.71 0.14 1.2 1.9
373 9.65 0.07 1.3 1.8
374 9.72 0.1 1.6 3.6
375 10.72 0.24 1.2 1.7
376 11.25 0.08 1.5 1.3
377 11.03 0.09 2.1 0.8
378 7.81 0.03 2.2 1.9
379 10.71 0.1 1.7 1.1
380 8.61 0.09 1.0 1.9
381 7.02 0.16 1.3 2.4
382 10.54 0.1 1.2 3.1
383 11.83 0.02 1.4 3.5
384 8.86 0.45 1.1 0.7
385 8.13 0.58 0.9 0.4
386 10.81 0.06 1.1 1.9
387 9.11 0.22 0.9 5.3
388 10.46 0.12 1.7 0.6
389 7.8 0.93 1.1 0.9
390 11.29 0.26 1.1 2.4
391 7.87 0.52 1.0 0.5
392 9.27 0.24 1.5 0.2
393 11.0 0.17 1.4 0.4
394 10.44 0.06 1.4 3.6
395 9.72 0.18 1.3 0.4
396 11.39 0.11 0.9 2.4
397 10.25 0.21 1.2 1.3
398 9.27 0.5 1.0 1.2
399 11.99 0.08 1.6 2.1
400 8.6 0.2 1.1 2.7
401 7.48 0.12 1.2 2.9
402 10.58 0.11 1.4 1.2
403 9.11 0.16 1.0 2.0
404 11.17 0.08 1.3 1.8
405 8.81 0.12 1.1 0.5
406 10.87 0.15 1.3 1.2
407 11.43 0.07 1.8 2.0
408 9.03 0.23 1.4 1.4
409 11.35 0.1 1.9 1.6
410 10.77 0.09 1.4 3.3
411 11.1 0.18 1.1 1.7
412 11.07 0.1 1.3 1.4
413 10.52 0.19 1.0 0.8
414 9.19 0.19 1.2 0.7
415 11.3 0.12 1.1 1.1
416 11.03 0.1 1.7 1.6
417 8.63 0.28 1.0 1.6
418 9.13 0.15 1.3 0.9
419 10.12 0.02 2.9 4.6
420 8.6 1.19 1.0 1.9
421 11.09 0.18 1.4 0.8
422 11.36 0.21 1.2 1.6
423 7.52 0.07 1.6 0.5
424 10.39 0.1 1.0 1.9
425 7.92 0.23 1.1 0.7
426 7.31 0.08 1.1 2.1
427 7.07 0.93 1.0 59.7
428 11.02 0.13 1.4 6.9
429 8.92 0.6 1.0 7.6
430 10.24 0.51 1.0 5.3
431 9.85 0.11 1.5 2.4
432 9.75 0.35 1.1 0.6
433 10.1 0.1 1.4 1.6
434 11.87 0.07 2.7 40.4
435 10.67 0.44 1.0 1.0
436 7.57 0.19 1.0 9.2
437 7.25 0.87 1.0 44.0
438 10.9 0.11 1.7 0.7
439 9.29 0.17 1.1 1.2
440 11.36 0.08 4.3 1.0
441 11.14 0.27 1.3 1.5
442 11.2 0.22 1.2 1.5
443 9.39 0.37 1.2 1.1
444 10.82 0.05 14.9 5.8
445 11.37 0.14 1.0 2.5
446 10.89 0.11 1.4 0.4
447 11.16 0.09 1.3 2.1
448 10.58 0.32 1.1 1.6
449 11.18 0.1 3.4 0.7
450 11.16 0.16 2.2 0.4
451 8.34 0.14 1.0 2.3
452 11.31 0.08 1.7 1.0
453 10.89 0.02 3.7 2.3
454 11.67 0.26 1.1 2.1
455 10.82 0.29 1.6 0.7
456 10.57 0.23 1.0 0.4
457 8.53 0.12 0.9 1.4
458 10.67 0.55 1.0 0.2
459 10.89 0.22 1.1 0.1
460 7.88 0.41 1.1 0.8
461 11.04 0.1 2.6 1.9
462 11.04 0.11 1.9 0.9
463 11.23 0.02 16.2 7.3
464 10.55 0.38 1.1 2.1
465 10.78 0.08 2.3 0.7
466 8.87 0.57 1.1 1.4
467 10.77 0.14 1.8 0.4
468 10.53 0.07 3.1 2.7
469 11.21 0.1 2.0 0.7
470 11.31 0.06 2.8 1.8
471 11.18 0.07 4.0 0.4
472 10.89 0.1 3.7 2.4
473 11.08 0.13 1.6 0.9
474 11.22 0.07 2.3 1.5
475 9.7 0.07 1.4 1.5
476 10.64 0.18 1.2 1.9
477 9.64 0.27 1.0 2.0
478 11.52 0.05 1.6 1.4
479 11.06 0.05 2.9 2.0
480 10.98 0.1 2.5 1.2
481 10.82 0.61 0.9 1.1
482 10.32 0.03 7.8 2.5
483 9.17 0.06 1.5 2.2
484 6.77 0.4 1.1 1.4
485 11.14 0.07 1.5 1.6
486 11.2 0.09 1.4 0.8
487 10.12 0.32 1.2 0.5
488 7.7 0.44 1.0 3.0
489 10.36 0.12 2.0 2.5
490 9.78 0.25 1.1 1.7
491 10.67 0.05 6.6 1.0
492 10.72 0.08 2.0 0.9
493 10.23 0.05 3.4 2.1
494 10.68 0.09 5.2 0.6
495 11.13 0.06 2.0 0.2
496 11.03 0.1 1.3 0.6
497 10.64 0.04 8.6 4.1
498 11.12 0.07 1.8 0.2
499 10.02 0.02 5.4 6.4
500 9.62 0.05 4.8 0.2
501 9.9 0.02 5.4 2.5
502 11.08 0.11 1.2 2.9
503 11.74 0.05 3.0 0.6
504 9.16 0.45 1.0 2.0
505 11.04 0.04 3.3 0.5
506 9.04 0.12 1.1 1.1
507 10.32 0.16 1.5 0.6
508 9.81 0.08 1.2 0.9
509 11.06 0.04 1.8 2.8
510 11.13 0.1 2.4 1.6
511 8.44 0.37 1.0 0.9
512 9.63 0.13 2.3 2.6
513 11.03 0.1 1.8 1.8
514 10.97 0.15 1.3 1.4
515 11.07 0.02 9.4 2.1
516 11.01 0.23 1.2 1.3
517 8.23 0.68 1.0 0.7
518 11.16 0.2 1.3 2.1
519 11.56 0.06 1.8 3.6
520 9.73 1.38 1.0 2.1
521 7.72 0.17 1.4 0.7
522 10.87 0.07 4.9 0.9
523 8.28 0.42 0.9 1.7
524 7.81 0.06 2.1 35.0
525 10.54 0.06 3.4 1.4
526 10.99 0.09 1.6 1.8
527 9.29 0.1 1.1 2.5
528 10.88 0.05 2.2 0.8
529 11.35 0.07 2.4 0.6
530 11.12 0.06 1.1 2.8
531 11.25 0.09 1.6 1.3
532 11.16 0.07 2.1 1.2
533 10.92 0.06 2.5 0.5
534 10.75 0.03 4.5 2.2
535 8.32 0.33 1.0 0.6
536 10.63 0.3 1.0 0.1
537 10.01 0.2 1.3 3.0
538 8.14 0.29 0.9 1.4
539 9.65 0.48 0.9 0.1
540 11.32 0.11 1.6 3.5
541 11.72 0.16 1.1 5.2
542 11.02 0.2 0.9 1.1
543 9.16 0.06 1.4 1.6
544 9.51 0.76 1.1 11.1
545 11.68 0.06 1.8 2.0
546 9.05 0.12 1.1 1.2
547 11.07 0.09 1.3 0.5
548 10.57 0.22 0.8 0.9
549 11.03 0.17 1.1 0.2
550 11.24 0.09 1.1 2.4
551 10.97 0.13 1.5 0.6
552 8.95 0.44 1.1 2.5
553 11.27 0.23 1.2 1.3
554 10.68 0.14 1.5 0.7
555 10.95 0.13 1.4 0.9
556 8.93 0.09 1.6 2.6
557 11.17 0.22 2.3 2.4
558 10.81 0.07 1.8 1.2
559 11.5 0.07 2.1 1.8
560 11.02 0.14 1.5 0.6
561 9.16 0.18 1.0 1.0
562 10.69 0.18 1.0 0.3
563 11.21 0.07 0.9 1.9
564 11.43 0.07 1.3 0.9
565 10.9 0.05 1.8 2.5
566 11.01 0.11 1.4 2.0
567 10.46 0.26 1.1 1.0
568 10.62 0.16 1.0 1.5
569 10.8 0.24 1.2 0.5
570 10.48 0.31 1.1 1.9
571 9.83 0.08 1.6 2.7
572 10.71 0.14 1.3 0.4
573 10.98 0.19 1.2 0.5
574 6.81 0.15 1.1 1.9
575 10.78 0.1 2.0 0.6
576 9.79 0.12 1.3 3.3
577 10.58 0.37 1.1 0.3
578 11.26 0.1 1.5 1.9
579 9.85 0.07 1.4 3.2
580 7.68 0.26 1.1 0.7
581 10.55 0.2 1.3 2.4
582 7.99 0.43 1.0 0.8
583 8.6 0.1 1.1 1.8
584 11.47 0.04 1.0 2.5
585 11.32 0.11 1.0 1.2
586 11.02 0.12 1.5 1.9
587 10.95 0.18 1.2 0.5
588 10.07 0.11 2.2 4.8
589 11.21 0.11 1.3 2.1
590 9.09 0.2 0.9 1.0
591 8.59 0.12 1.1 2.1
592 9.2 0.78 0.9 3.1
593 10.95 0.16 1.0 0.6
594 10.89 0.1 1.2 2.1
595 9.83 0.27 1.2 1.0
596 11.77 0.06 1.1 1.9
597 10.93 0.09 1.3 0.5
598 10.54 0.33 0.9 1.1
599 10.34 0.36 1.1 3.4
600 11.02 0.1 2.1 4.3
601 8.22 0.15 1.0 2.3
602 9.65 0.43 1.0 2.8
603 8.37 0.23 1.0 3.0
604 11.18 0.15 1.1 2.1
605 10.82 0.22 1.5 6.5
606 10.65 0.11 1.4 1.0
607 10.46 0.12 0.9 3.5
608 11.22 0.06 1.6 1.5
609 11.05 0.11 1.2 0.9
610 8.11 0.52 1.1 0.5
611 10.38 0.86 1.0 2.3
612 10.58 0.1 1.5 0.9
613 11.16 0.41 1.1 1.4
614 8.92 0.25 0.9 0.8
615 10.83 0.15 1.3 1.1
616 10.7 0.13 1.9 1.0
617 10.7 0.27 0.9 2.3
618 10.65 0.19 1.4 1.2
619 10.28 0.07 1.3 2.6
620 10.38 0.26 1.1 2.1
621 10.93 0.15 1.2 1.0
622 10.44 0.32 1.1 0.7
623 10.26 0.26 1.1 1.0
624 8.96 0.02 1.3 3.1
625 10.83 0.11 1.1 0.6
626 9.76 0.23 1.4 0.5
627 9.43 0.19 1.2 0.3
628 11.44 0.07 1.3 1.2
629 10.68 0.09 1.5 2.7
630 10.76 0.14 1.3 0.5
631 10.61 0.18 1.1 1.3
632 10.61 0.13 1.3 2.1
633 9.65 0.07 1.6 2.8
634 10.73 0.25 1.2 2.8
635 11.27 0.13 1.4 1.1
636 10.9 0.21 1.2 0.7
637 10.03 0.21 0.8 3.1
638 9.94 0.39 1.1 1.6
639 10.86 0.13 1.5 2.9
640 11.23 0.17 1.3 1.9
641 8.75 0.06 1.8 1.7
642 10.94 0.16 1.2 1.0
643 11.05 0.07 1.6 0.7
644 7.54 0.06 1.6 1.3
645 11.22 0.07 1.7 1.2
646 11.54 0.1 1.6 3.5
647 8.29 0.38 1.0 0.2
648 11.33 0.15 1.1 0.6
649 11.09 0.18 1.3 1.7
650 7.36 0.16 1.1 1.7
651 10.97 0.31 0.9 1.8
652 11.3 0.26 1.2 1.7
653 11.11 0.06 1.2 3.2
654 10.88 0.16 1.1 1.1
655 11.08 0.15 1.5 5.7
656 11.27 0.21 1.1 1.1
657 10.1 0.13 1.5 1.1
658 9.29 0.13 1.1 1.7
659 11.22 0.06 1.2 1.3
660 10.9 0.11 1.3 2.3
661 10.92 0.13 1.1 0.6
662 8.35 1.2 1.0 2.6
663 10.57 0.12 1.3 1.6
664 8.58 0.09 1.0 1.1
665 10.85 0.28 1.0 2.5
666 10.96 0.14 1.1 1.4
667 7.29 0.04 1.3 1.0
668 10.94 0.09 1.8 1.4
669 8.05 0.03 4.8 10.8
670 11.03 0.47 1.0 1.4
671 8.29 0.29 1.1 2.0
672 10.77 0.15 1.1 2.1
673 11.2 0.08 1.6 1.9
674 11.43 0.03 1.1 2.1
675 10.98 0.06 1.1 3.7
676 9.19 0.06 1.0 4.5
677 11.15 0.08 1.5 0.7
678 9.87 0.28 1.0 11.2
679 9.5 0.08 1.1 2.1
680 10.01 0.1 0.9 1.6
681 7.35 0.1 1.1 1.7
682 10.64 0.16 1.2 1.3
683 8.74 0.6 1.0 1.7
684 11.15 0.1 1.1 2.1
685 10.64 0.18 1.1 2.0
686 10.96 0.13 1.2 2.2
687 8.49 0.35 1.1 0.9
688 11.03 0.11 1.5 3.4
689 10.72 0.06 1.2 1.9
690 6.69 0.46 1.1 1.1
691 7.63 0.04 1.3 4.0
692 7.98 0.19 1.1 1.9
693 7.54 0.92 0.9 2.4
694 10.33 0.28 1.2 3.7
695 10.75 0.11 2.1 2.5
696 10.92 0.07 1.5 0.7
697 10.35 0.1 1.5 0.9
698 10.08 0.08 6.6 6.1
699 9.36 0.02 12.8 38.5
700 10.24 0.02 7.3 6.0
701 11.08 0.12 1.1 2.3
702 9.13 0.02 11.1 14.6
703 10.04 0.04 6.3 3.1
704 10.44 0.02 14.8 6.6
705 9.14 0.02 8.7 2.9
706 10.47 0.11 9.6 6.6
